Item,Where to get,Item Type,Resulting Quantity,Time Required
Assembling machine 1,,Machine or Furnace,,
Assembling machine 2,,,,
Assembling machine 3,,,,
Lab,,Machine or Furnace,,
Basic Beacon,,Machine or Furnace,,
Radar,,Machine or Furnace,,
Small electric pole,,Electric Network,,
Medium electric pole,,Electric Network,,
Big electric pole,,Electric Network,,
Substation,,Electric Network,,
Boiler,,Electric Network,,
Steam engine,,Electric Network,,
Solar Panel,,Electric Network,,
Basic accumulator,,Electric Network,,
Lamp,,Electric Network,,
Straight Rail,,Railway Network,,
Curved Rail,,Railway Network,,
Train stop,,Railway Network,,
Rail signal,,Railway Network,,
Rail chain signal,,Railway Network,,
Diesel Locomotive,,Railway Network,,
Cargo wagon,,Railway Network,,
Pipe,,Liquid Network,,
Pipe-to-ground,,Liquid Network,,
Offshore Pump,,Liquid Network,,
Storage Tank,,Liquid Network,,
Oil Refinery,,Liquid Network,,
Chemical Plant,,Liquid Network,,
Pumpjack,,Liquid Network,,
Small Pump,,Liquid Network,,
Low density structure,,Rocket Components,,
Rocket fuel,,Rocket Components,,
Rocket part,,Rocket Components,,
Rocket control unit,,Rocket Components,,
Satellite,,Rocket Components,,
Gate,,,,
Personal roboport,,,,
Repair Pack,,,,
Arithmetic Combinator,,,,
Decider Combinator,,,,
Constant Combinator,,,,
